anyo,media_ene,media_feb,media_mar,media_abr,media_may,media_jun,media_jul,media_ago,media_sep,media_oct,media_nov,media_dic,anomalia_ene,anomalia_feb,anomalia_mar,anomalia_abr,anomalia_may,anomalia_jun,anomalia_jul,anomalia_ago,anomalia_sep,anomalia_oct,anomalia_nov,anomalia_dic,media_anual,extremo_anual,dias_con_dato_ene,dias_con_dato_feb,dias_con_dato_mar,dias_con_dato_abr,dias_con_dato_may,dias_con_dato_jun,dias_con_dato_jul,dias_con_dato_ago,dias_con_dato_sep,dias_con_dato_oct,dias_con_dato_nov,dias_con_dato_dic
1990,15.10,19.27,18.41,19.19,23.50,26.41,30.03,30.62,28.15,23.55,18.53,13.94,-0.49,2.84,-0.31,-1.77,-0.60,-1.51,-0.38,-0.10,0.35,-0.32,-0.54,-2.15,22.23,37.80,31,28,31,30,31,30,31,31,30,31,30,31
1991,14.54,14.46,17.97,18.36,20.85,25.90,30.33,31.35,28.67,21.89,18.97,15.24,-1.06,-1.97,-0.75,-2.60,-3.26,-2.02,-0.08,0.63,0.87,-1.98,-0.11,-0.85,21.54,37.50,31,28,31,30,31,30,31,31,30,31,30,31
1992,13.21,14.97,17.70,20.49,23.68,23.91,29.08,31.03,27.17,22.45,20.17,15.74,-2.39,-1.47,-1.02,-0.47,-0.42,-4.00,-1.32,0.31,-0.63,-1.42,1.09,-0.36,21.63,34.20,31,29,31,30,31,30,31,31,30,31,30,31
1993,13.89,14.06,16.71,20.37,23.26,27.55,28.51,30.06,27.49,21.37,17.15,16.73,-1.70,-2.38,-2.00,-0.59,-0.85,-0.36,-1.90,-0.66,-0.31,-2.49,-1.92,0.64,21.43,35.60,31,28,31,30,31,30,31,31,30,31,30,31
1994,16.59,17.42,18.96,20.19,24.32,27.63,30.97,31.22,26.81,22.68,20.38,16.67,0.99,0.99,0.25,-0.77,0.22,-0.28,0.56,0.50,-0.99,-1.19,1.31,0.58,22.82,35.20,31,28,31,30,31,30,31,31,30,31,30,31
1995,16.79,19.09,18.95,20.45,24.16,26.00,30.23,30.03,26.75,24.01,20.07,16.67,1.20,2.66,0.23,-0.51,0.06,-1.92,-0.18,-0.69,-1.05,0.14,1.00,0.58,22.77,33.20,31,28,31,30,31,30,31,31,30,31,30,31
1996,16.17,15.74,17.39,20.60,23.65,28.19,29.74,29.51,26.10,23.25,19.30,15.64,0.57,-0.69,-1.33,-0.36,-0.45,0.27,-0.67,-1.21,-1.70,-0.62,0.23,-0.45,22.11,34.00,31,29,31,30,31,30,31,31,30,31,30,31
1997,13.68,17.52,20.08,21.34,24.08,27.63,29.18,30.79,27.47,25.61,19.47,16.10,-1.91,1.09,1.36,0.38,-0.02,-0.28,-1.23,0.07,-0.33,1.75,0.39,0.01,22.75,36.60,31,28,31,30,31,30,31,31,30,31,30,31
1998,15.90,16.40,19.38,22.03,23.31,27.19,30.86,31.03,28.59,23.97,18.94,15.13,0.31,-0.03,0.67,1.07,-0.80,-0.73,0.46,0.31,0.79,0.10,-0.13,-0.96,22.73,35.80,31,28,31,30,31,30,31,31,30,31,30,31
1999,15.31,16.72,18.55,22.28,24.97,27.35,29.89,31.02,28.74,23.05,16.85,16.07,-0.28,0.29,-0.17,1.32,0.86,-0.57,-0.52,0.30,0.94,-0.82,-2.22,-0.02,22.57,35.80,31,28,31,30,31,30,31,31,30,31,30,31
