Anomalía de la máxima media mensual respecto a 1991-2020

Año      Media  Anomalía   Récord
1990      22.2     -0.41     37.8
1991      21.5     -1.10     37.5
1992      21.6     -1.01     34.2
1993      21.4     -1.21     35.6
1994      22.8     +0.18     35.2
1995      22.8     +0.13     33.2
1996      22.1     -0.53     34.0
1997      22.7     +0.11     36.6
1998      22.7     +0.09     35.8
1999      22.6     -0.07     35.8
2000      22.6     -0.00     35.2
2001      22.9     +0.29     36.0
2002      22.7     +0.05     32.8
2003      23.0     +0.39     37.4
2004      22.6     -0.03     37.2
2005      22.4     -0.26     36.3
2006      23.0     +0.38     34.6
2007      22.7     +0.06     37.2
2008      22.2     -0.41     39.4
2009      22.8     +0.11     40.6
2010      21.8     -0.80     36.0
2011      22.8     +0.17     37.1
2012      22.7     +0.02     34.6
2013      22.5     -0.10     35.1
2014      23.2     +0.53     33.4
2015      23.1     +0.42     36.8
2016      23.0     +0.39     35.1
2017      23.4     +0.73     37.0
2018      23.0     +0.34     36.2
2019      23.3     +0.62     38.8
2020      23.2     +0.52     35.1
2021      22.6     -0.06     37.5
2022      23.8     +1.14     37.9
2023      23.8     +1.12     38.0
2024      23.8     +1.15     36.3
2025      23.6     +0.98     37.3
2026         —   parcial     38.9

CSV guardado en resultados/anomalias_tmax/datos.csv
Mapa guardado en resultados/anomalias_tmax/mapa_claro.png
Mapa guardado en resultados/anomalias_tmax/mapa_oscuro.png
