anyo,media_ene,media_feb,media_mar,media_abr,media_may,media_jun,media_jul,media_ago,media_sep,media_oct,media_nov,media_dic,anomalia_ene,anomalia_feb,anomalia_mar,anomalia_abr,anomalia_may,anomalia_jun,anomalia_jul,anomalia_ago,anomalia_sep,anomalia_oct,anomalia_nov,anomalia_dic,media_anual,extremo_anual,dias_con_dato_ene,dias_con_dato_feb,dias_con_dato_mar,dias_con_dato_abr,dias_con_dato_may,dias_con_dato_jun,dias_con_dato_jul,dias_con_dato_ago,dias_con_dato_sep,dias_con_dato_oct,dias_con_dato_nov,dias_con_dato_dic
1990,5.88,9.06,8.92,9.27,13.39,17.83,20.42,21.27,19.84,14.61,8.88,5.21,-0.56,2.16,0.04,-1.79,-1.04,-0.49,-0.81,-0.35,1.22,-0.34,-1.35,-2.26,12.88,23.60,31,28,31,30,31,30,31,31,30,31,30,31
1991,5.15,5.01,9.24,8.80,10.72,16.82,20.41,21.48,19.11,12.28,8.39,7.40,-1.29,-1.89,0.36,-2.25,-3.70,-1.50,-0.82,-0.14,0.49,-2.67,-1.84,-0.07,12.07,24.40,31,28,31,30,31,30,31,31,30,31,30,31
1992,4.34,5.12,8.17,10.46,14.52,14.80,19.13,21.21,18.31,13.07,9.27,7.46,-2.10,-1.78,-0.71,-0.59,0.09,-3.52,-2.10,-0.41,-0.31,-1.88,-0.96,-0.00,12.16,23.60,31,29,31,30,31,30,31,31,30,31,30,31
1993,3.93,5.66,7.34,9.91,13.84,17.51,19.27,20.47,16.91,12.40,8.67,6.72,-2.51,-1.24,-1.55,-1.15,-0.59,-0.81,-1.96,-1.14,-1.71,-2.55,-1.56,-0.75,11.89,25.60,31,28,31,30,31,30,31,31,30,31,30,31
1994,5.30,6.22,8.25,9.21,14.54,17.12,21.26,22.37,16.91,14.54,11.29,7.54,-1.14,-0.68,-0.63,-1.84,0.11,-1.20,0.03,0.75,-1.72,-0.42,1.06,0.07,12.88,24.40,31,28,31,30,31,30,31,31,30,31,30,31
1995,5.90,7.67,7.50,9.01,14.03,17.05,20.35,21.08,16.35,14.73,10.99,8.63,-0.54,0.77,-1.39,-2.04,-0.40,-1.27,-0.88,-0.54,-2.27,-0.22,0.76,1.16,12.77,24.60,31,28,31,30,31,30,31,31,30,31,30,31
1996,8.25,5.76,7.35,10.13,13.03,17.40,19.58,20.35,16.04,13.46,9.97,7.56,1.80,-1.14,-1.53,-0.92,-1.40,-0.92,-1.65,-1.26,-2.58,-1.49,-0.26,0.09,12.41,23.60,31,29,31,30,31,30,31,31,30,31,30,31
1997,6.45,7.34,8.41,11.09,14.37,17.91,19.20,20.65,19.33,16.06,10.63,7.38,0.00,0.44,-0.47,0.04,-0.05,-0.41,-2.03,-0.97,0.71,1.11,0.40,-0.09,13.24,23.80,31,28,31,30,31,30,31,31,30,31,30,31
1998,7.66,7.78,8.90,10.47,13.77,18.21,20.96,20.54,19.11,13.19,9.51,5.91,1.22,0.88,0.02,-0.58,-0.65,-0.11,-0.27,-1.07,0.48,-1.76,-0.72,-1.56,13.00,24.00,31,28,31,30,31,30,31,31,30,31,30,31
1999,5.77,5.84,8.66,10.94,15.61,18.41,20.97,22.28,18.13,14.58,7.61,7.14,-0.67,-1.06,-0.22,-0.11,1.19,0.09,-0.26,0.67,-0.49,-0.37,-2.62,-0.33,13.00,24.20,31,28,31,30,31,30,31,31,30,31,30,31
2000,4.31,7.74,8.94,11.37,15.53,18.29,20.49,21.10,18.33,14.45,9.92,8.17,-2.13,0.84,0.05,0.32,1.10,-0.03,-0.74,-0.52,-0.29,-0.50,-0.31,0.71,13.22,23.80,31,29,31,30,31,30,31,31,30,31,30,31
2001,8.56,7.04,11.89,11.78,14.67,18.65,20.75,22.57,18.75,16.50,8.83,5.46,2.12,0.14,3.01,0.73,0.24,0.33,-0.49,0.96,0.12,1.55,-1.40,-2.01,13.79,24.80,31,28,31,30,31,30,31,31,30,31,30,31
2002,7.01,7.50,10.04,11.24,13.37,18.16,20.62,20.16,18.45,14.94,10.97,9.63,0.57,0.60,1.15,0.19,-1.06,-0.16,-0.61,-1.45,-0.17,-0.01,0.74,2.16,13.51,23.00,31,28,31,30,31,30,31,31,30,31,30,31
2003,6.90,6.84,8.81,11.33,14.96,21.43,23.02,22.81,18.91,14.77,11.45,7.65,0.46,-0.06,-0.08,0.28,0.54,3.11,1.79,1.20,0.29,-0.18,1.22,0.18,14.07,26.20,31,28,31,30,31,30,31,31,30,31,30,31
2004,7.75,6.75,8.37,10.13,13.50,19.13,21.06,22.57,19.97,15.96,9.55,8.25,1.31,-0.15,-0.51,-0.93,-0.92,0.81,-0.17,0.95,1.34,1.01,-0.68,0.79,13.58,25.20,31,29,31,30,31,30,31,31,30,31,30,31
2005,4.59,4.69,8.27,10.97,14.98,19.95,22.11,20.78,17.67,15.53,9.48,5.87,-1.85,-2.21,-0.61,-0.08,0.56,1.63,0.88,-0.83,-0.95,0.58,-0.75,-1.60,12.91,25.00,31,28,31,30,31,30,31,31,30,31,30,31
2006,6.21,5.94,10.43,12.78,15.43,18.66,22.53,21.06,19.19,16.59,12.67,7.40,-0.23,-0.96,1.55,1.73,1.01,0.34,1.30,-0.56,0.57,1.64,2.44,-0.07,14.07,24.80,31,28,31,30,31,30,31,31,30,31,30,31
2007,6.85,9.09,9.17,11.85,15.35,18.76,20.99,21.36,18.64,14.57,8.27,7.14,0.41,2.19,0.29,0.79,0.92,0.44,-0.24,-0.25,0.02,-0.38,-1.96,-0.33,13.50,24.60,31,28,31,30,31,30,31,31,30,31,30,31
