Anomalía de la mínima media mensual respecto a 1991-2020

Año      Media  Anomalía   Récord
1990      12.9     -0.46     23.6
1991      12.1     -1.28     24.4
1992      12.2     -1.19     23.6
1993      11.9     -1.46     25.6
1994      12.9     -0.47     24.4
1995      12.8     -0.57     24.6
1996      12.4     -0.94     23.6
1997      13.2     -0.11     23.8
1998      13.0     -0.34     24.0
1999      13.0     -0.35     24.2
2000      13.2     -0.12     23.8
2001      13.8     +0.44     24.8
2002      13.5     +0.16     23.0
2003      14.1     +0.73     26.2
2004      13.6     +0.24     25.2
2005      12.9     -0.44     25.0
2006      14.1     +0.73     24.8
2007      13.5     +0.16     24.6
2008      13.4     +0.08     25.0
2009      13.7     +0.40     24.6
2010      12.9     -0.44     25.8
2011      13.9     +0.60     24.5
2012      13.2     -0.13     25.0
2013      13.2     -0.11     23.5
2014      14.3     +0.94     25.1
2015      13.9     +0.55     25.9
2016      14.1     +0.73     24.7
2017      13.8     +0.41     25.0
2018      13.9     +0.55     26.5
2019      13.8     +0.47     25.1
2020      14.1     +0.75     25.4
2021      13.9     +0.56     25.7
2022      14.7     +1.40     26.6
2023      14.3     +0.99     26.5
2024      14.7     +1.38     25.2
2025      14.8     +1.50     27.1
2026         —   parcial     27.4

CSV guardado en resultados/anomalias_tmin/datos.csv
Mapa guardado en resultados/anomalias_tmin/mapa_claro.png
Mapa guardado en resultados/anomalias_tmin/mapa_oscuro.png
