anyo,total_mm,mm_ene,mm_feb,mm_mar,mm_abr,mm_may,mm_jun,mm_jul,mm_ago,mm_sep,mm_oct,mm_nov,mm_dic,dias_de_lluvia,racha_seca,racha_seca_fin,mm_top5,torrencialidad,dias_con_dato,cobertura
1990,538.8,43.0,1.4,13.4,47.9,31.2,30.5,0.6,4.1,28.5,286.6,27.9,23.7,54,48,1990-03-02,213.6,0.396,365,1.000
1991,491.5,39.8,94.2,67.7,40.8,14.8,10.7,8.9,7.7,25.0,32.4,48.9,100.6,59,33,1991-11-28,160.7,0.327,365,1.000
1992,396.0,11.9,45.8,15.3,5.7,24.3,77.5,7.6,7.3,9.4,59.5,0.0,131.7,39,64,1992-12-23,188.2,0.475,366,1.000
1993,259.7,0.0,35.6,30.2,8.8,16.0,3.2,5.4,5.7,36.2,55.7,59.1,3.8,34,47,1993-06-30,112.6,0.434,365,1.000
1994,394.8,1.0,4.6,2.6,39.3,13.3,0.6,0.0,13.8,93.5,180.3,43.1,2.7,30,91,1994-08-13,218.1,0.552,365,1.000
1995,264.3,0.2,11.7,5.6,19.8,6.1,4.4,10.9,20.5,52.5,43.9,14.2,74.5,41,64,1995-02-21,87.4,0.331,365,1.000
1996,511.5,125.5,53.5,12.4,25.7,25.4,9.3,9.1,25.3,105.6,5.8,52.9,61.0,59,23,1996-07-13,200.4,0.392,366,1.000
1997,349.2,102.5,2.0,3.6,41.8,13.8,12.5,11.2,42.0,48.2,9.7,11.2,50.7,54,48,1997-03-24,123.7,0.354,365,1.000
1998,304.6,89.4,25.2,1.1,11.0,44.8,0.1,4.4,21.1,6.8,5.7,8.3,86.7,36,80,1998-04-26,127.4,0.418,365,1.000
1999,267.3,8.3,1.6,77.9,6.3,10.2,7.6,16.4,2.0,73.9,34.1,21.9,7.1,36,54,1999-02-25,136.2,0.510,365,1.000
2000,558.9,52.3,0.1,84.3,10.2,42.6,30.9,1.2,4.2,19.3,297.6,1.9,14.3,30,63,2000-03-19,386.9,0.692,366,1.000
2001,443.9,23.0,25.8,10.4,34.4,24.1,7.4,5.7,32.5,107.7,42.1,101.2,29.6,46,40,2001-04-17,190.8,0.430,365,1.000
2002,451.7,65.9,0.1,16.6,60.5,111.0,31.2,3.6,43.2,42.0,33.6,5.5,38.5,55,62,2002-03-13,149.4,0.331,365,1.000
2003,579.0,4.5,34.7,41.9,87.0,151.9,1.2,31.6,39.2,62.1,47.9,42.8,34.2,54,48,2003-07-04,239.0,0.413,365,1.000
2004,632.4,0.0,80.5,112.4,63.1,111.0,19.3,5.0,3.7,132.3,19.4,6.2,79.5,52,68,2004-02-16,205.4,0.325,366,1.000
2005,465.9,0.0,28.0,6.6,12.3,23.3,5.3,18.4,33.9,34.0,46.6,248.7,8.8,40,43,2005-02-07,273.1,0.586,365,1.000
2006,489.2,126.3,72.1,9.3,7.9,56.9,15.2,0.2,1.8,74.5,11.2,108.6,5.2,41,67,2006-08-17,232.0,0.474,365,1.000
2007,608.7,34.2,23.1,60.2,136.9,16.8,23.6,0.4,2.1,46.3,172.3,0.0,92.8,48,56,2007-08-12,261.9,0.430,365,1.000
2008,421.4,5.4,44.7,6.4,4.4,99.4,40.1,10.3,8.2,53.6,70.2,39.3,39.4,54,45,2008-08-31,120.2,0.285,366,1.000
2009,568.1,49.3,11.6,51.0,43.1,3.1,4.9,5.9,12.6,329.8,9.6,3.0,44.2,49,38,2009-11-29,342.8,0.603,365,1.000
2010,386.8,43.8,29.6,34.6,27.0,68.9,48.3,0.0,19.8,5.8,84.7,11.3,13.0,49,55,2010-08-13,146.1,0.378,365,1.000
2011,513.1,24.5,9.7,104.9,41.2,47.8,35.8,41.6,3.5,12.9,20.3,166.9,4.0,51,37,2011-01-26,214.5,0.418,365,1.000
2012,296.6,49.4,0.4,24.8,22.8,1.2,2.6,1.6,7.6,68.8,53.6,63.4,0.4,38,59,2012-08-30,144.8,0.488,366,1.000
2013,325.2,1.6,64.2,72.8,79.2,23.4,23.8,0.2,35.8,0.6,10.2,5.4,8.0,38,72,2013-02-08,159.4,0.490,365,1.000
2014,286.8,18.0,18.0,8.2,13.8,5.2,8.4,14.6,41.8,48.8,2.0,89.2,18.8,37,36,2014-05-28,122.2,0.426,365,1.000
2015,453.4,3.8,3.4,190.8,2.8,10.8,35.8,71.8,26.6,41.2,23.6,42.8,0.0,30,42,2015-03-18,257.2,0.567,365,1.000
2016,426.2,0.0,4.2,35.2,21.6,28.4,0.6,0.2,8.2,60.4,17.4,149.2,100.8,43,115,2016-02-26,216.6,0.508,366,1.000
2017,330.2,191.2,17.8,30.6,14.4,13.4,14.8,0.2,24.4,9.6,8.6,4.4,0.8,28,65,2017-08-09,224.2,0.679,365,1.000
2018,654.9,12.0,49.8,8.8,38.4,29.0,42.6,4.8,65.6,98.6,186.5,109.6,9.2,50,44,2018-07-21,290.9,0.444,365,1.000
2019,331.2,0.6,0.0,16.2,39.4,14.2,0.0,7.6,29.4,57.0,18.8,3.6,144.4,27,107,2019-03-31,207.4,0.626,365,1.000
2020,585.6,67.0,0.0,205.4,55.0,35.8,52.6,2.6,15.0,27.4,3.6,117.6,3.6,44,49,2020-03-15,295.2,0.504,366,1.000
2021,421.6,35.2,14.2,41.8,97.2,25.8,40.4,14.4,28.2,77.4,10.8,35.8,0.4,54,31,2021-07-25,141.0,0.334,365,1.000
2022,713.4,15.0,13.6,207.4,79.4,96.4,40.4,5.0,1.2,14.4,52.0,172.4,16.2,55,68,2022-09-13,373.4,0.523,365,1.000
2023,306.6,0.0,21.4,0.0,4.6,130.0,15.4,14.6,26.2,85.4,4.2,0.8,4.0,24,72,2023-04-22,207.2,0.676,365,1.000
2024,447.6,15.2,1.2,23.4,5.6,13.2,21.8,8.0,36.2,111.8,138.8,58.6,13.8,50,47,2024-03-07,156.8,0.350,366,1.000
2025,669.4,31.2,18.2,50.6,8.0,27.0,3.2,89.4,23.6,117.0,175.2,5.4,120.6,52,35,2025-12-13,297.2,0.444,365,1.000
2026,139.2,32.2,1.4,70.4,1.6,21.8,8.2,0.8,2.8,0.0,0.0,0.0,0.0,22,62,2026-08-06,73.2,0.526,228,0.625
