anyo,total,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,dias_con_dato,dias_del_anyo,cobertura,dias_con_dato_ene,dias_con_dato_feb,dias_con_dato_mar,dias_con_dato_abr,dias_con_dato_may,dias_con_dato_jun,dias_con_dato_jul,dias_con_dato_ago,dias_con_dato_sep,dias_con_dato_oct,dias_con_dato_nov,dias_con_dato_dic
1990,54,6,0,4,6,4,5,0,2,7,13,4,3,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1991,59,6,8,9,7,5,2,2,2,3,4,3,8,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1992,39,2,3,3,1,3,8,2,3,4,5,0,5,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1993,34,0,5,2,3,3,1,1,2,5,5,5,2,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1994,30,0,3,2,3,2,0,0,2,7,5,5,1,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1995,41,0,2,2,2,1,2,2,3,6,7,5,9,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1996,59,9,4,4,3,5,2,2,7,7,1,8,7,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1997,54,13,2,1,6,2,3,3,2,6,3,4,9,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1998,36,9,3,0,2,8,0,1,2,4,1,1,5,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1999,36,1,1,5,2,5,2,2,1,6,7,2,2,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2000,30,3,0,4,2,3,1,1,2,4,6,0,4,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2001,46,3,4,1,5,4,2,2,1,6,6,7,5,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2002,55,7,0,4,7,8,4,2,6,8,4,3,2,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2003,54,3,7,5,4,7,0,2,2,8,7,4,5,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2004,52,0,6,5,7,6,3,2,1,6,3,3,10,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2005,40,0,5,2,3,4,2,3,3,3,4,8,3,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2006,41,8,3,2,2,6,3,0,1,5,4,5,2,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2007,48,4,5,4,10,3,3,0,1,3,9,0,6,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2008,54,2,5,1,1,13,6,3,1,6,9,3,4,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2009,49,5,3,4,7,1,2,3,1,11,2,1,9,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2010,49,7,5,5,5,7,6,0,2,3,4,2,3,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2011,51,4,2,9,4,5,4,6,2,1,6,7,1,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2012,38,4,0,2,4,0,2,1,1,6,7,11,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2013,38,0,5,4,8,7,6,0,4,0,1,1,2,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2014,37,3,2,2,3,1,3,3,3,6,0,9,2,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2015,30,2,1,6,1,1,4,2,4,3,4,2,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2016,43,0,1,4,7,5,0,0,3,3,6,7,7,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2017,28,4,4,5,3,2,2,0,3,1,3,1,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2018,50,4,5,4,3,4,3,2,3,6,6,8,2,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2019,27,0,0,1,6,2,0,3,4,5,2,1,3,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2020,44,4,0,9,6,5,3,1,3,3,2,7,1,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2021,54,4,3,5,11,3,5,3,8,6,3,3,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2022,55,3,4,17,8,5,2,2,0,3,3,5,3,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2023,24,0,3,0,2,4,4,2,1,6,1,0,1,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2024,50,2,0,3,2,4,5,4,3,8,9,8,2,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2025,52,2,3,11,2,2,2,5,3,4,8,2,8,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2026,22,6,0,7,1,5,1,0,2,0,0,0,0,228,365,0.625,31,28,31,30,31,30,31,16,0,0,0,0
