Días con precipitación ≥ 1 mm

Año      Días  Cobertura
1990       54      100%
1991       59      100%
1992       39      100%
1993       34      100%
1994       30      100%
1995       41      100%
1996       59      100%
1997       54      100%
1998       36      100%
1999       36      100%
2000       30      100%
2001       46      100%
2002       55      100%
2003       54      100%
2004       52      100%
2005       40      100%
2006       41      100%
2007       48      100%
2008       54      100%
2009       49      100%
2010       49      100%
2011       51      100%
2012       38      100%
2013       38      100%
2014       37      100%
2015       30      100%
2016       43      100%
2017       28      100%
2018       50      100%
2019       27      100%
2020       44      100%
2021       54      100%
2022       55      100%
2023       24      100%
2024       50      100%
2025       52      100%
2026       22       62%  (año incompleto)

CSV guardado en resultados/lluvia1/datos.csv
