Noches con mínima ≥ 20 °C

Año    Noches  Cobertura
1990       71      100%
1991       64      100%
1992       50      100%
1993       38      100%
1994       64      100%
1995       47      100%
1996       40      100%
1997       51      100%
1998       64      100%
1999       65      100%
2000       57      100%
2001       70      100%
2002       66      100%
2003       89      100%
2004       81      100%
2005       71      100%
2006       79      100%
2007       64      100%
2008       77      100%
2009       81      100%
2010       68      100%
2011       78      100%
2012       75      100%
2013       62      100%
2014       79      100%
2015       73      100%
2016       72      100%
2017       70      100%
2018       92      100%
2019       78      100%
2020       72      100%
2021       81      100%
2022      100      100%
2023       90      100%
2024       84      100%
2025      102      100%
2026       58       61%  (año incompleto)

CSV guardado en resultados/noches_tropicales.csv
