anyo,total,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,dias_con_dato,dias_del_anyo,cobertura,dias_con_dato_ene,dias_con_dato_feb,dias_con_dato_mar,dias_con_dato_abr,dias_con_dato_may,dias_con_dato_jun,dias_con_dato_jul,dias_con_dato_ago,dias_con_dato_sep,dias_con_dato_oct,dias_con_dato_nov,dias_con_dato_dic
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1993,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2003,6,0,0,0,0,0,1,5,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2004,1,0,0,0,0,0,0,1,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2005,1,0,0,0,0,0,0,1,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2008,1,0,0,0,0,0,0,0,1,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2010,2,0,0,0,0,0,0,1,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2012,1,0,0,0,0,0,0,0,1,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2014,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2015,5,0,0,0,0,0,0,4,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2017,1,0,0,0,0,0,0,1,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2018,4,0,0,0,0,0,0,0,4,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2019,2,0,0,0,0,0,0,0,2,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2020,1,0,0,0,0,0,0,0,1,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2021,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2022,7,0,0,0,0,0,0,4,3,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2023,12,0,0,0,0,0,0,9,3,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2024,1,0,0,0,0,0,0,0,1,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2025,12,0,0,0,0,0,1,7,4,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2026,16,0,0,0,0,0,0,12,4,0,0,0,0,221,365,0.605,31,28,31,30,31,30,31,9,0,0,0,0
