anyo,total,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,dias_con_dato,dias_del_anyo,cobertura,dias_con_dato_ene,dias_con_dato_feb,dias_con_dato_mar,dias_con_dato_abr,dias_con_dato_may,dias_con_dato_jun,dias_con_dato_jul,dias_con_dato_ago,dias_con_dato_sep,dias_con_dato_oct,dias_con_dato_nov,dias_con_dato_dic
1990,2,0,0,0,0,0,0,1,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1991,3,0,0,0,0,0,0,1,2,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1993,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1994,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1997,1,0,0,0,0,0,1,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1998,2,0,0,0,0,0,0,1,0,1,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1999,2,0,0,0,0,0,1,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2000,1,0,0,0,0,0,1,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2001,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2003,13,0,0,0,0,0,5,1,7,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2004,4,0,0,0,0,0,0,1,3,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2005,1,0,0,0,0,0,1,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2007,2,0,0,0,0,0,0,1,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2008,1,0,0,0,0,0,0,0,1,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2009,1,0,0,0,0,0,0,1,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2010,2,0,0,0,0,1,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2011,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2013,1,0,0,0,0,0,0,1,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2015,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2016,1,0,0,0,0,0,0,0,0,1,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2017,1,0,0,0,0,0,0,0,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2018,2,0,0,0,0,0,0,1,1,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2019,5,0,0,0,0,0,2,3,0,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2020,1,0,0,0,0,0,0,1,0,0,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2021,2,0,0,0,0,0,0,0,2,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2022,4,0,0,0,0,0,1,1,2,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2023,5,0,0,0,0,0,0,0,5,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2024,2,0,0,0,0,0,0,2,0,0,0,0,0,365,366,0.997,31,29,31,30,31,30,31,31,30,31,29,31
2025,9,0,0,0,0,0,2,2,5,0,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2026,8,0,0,0,0,0,3,4,1,0,0,0,0,227,365,0.622,31,28,31,30,31,30,31,15,0,0,0,0
