Días con máxima ≥ 35 °C

Año      Días  Cobertura
1990        2      100%
1991        3      100%
1992        0      100%
1993        1      100%
1994        1      100%
1995        0      100%
1996        0      100%
1997        1      100%
1998        2      100%
1999        2      100%
2000        1      100%
2001        1      100%
2002        0      100%
2003       13      100%
2004        4      100%
2005        1      100%
2006        0      100%
2007        2      100%
2008        1      100%
2009        1      100%
2010        2      100%
2011        1      100%
2012        0      100%
2013        1      100%
2014        0      100%
2015        1      100%
2016        1      100%
2017        1      100%
2018        2      100%
2019        5      100%
2020        1      100%
2021        2      100%
2022        4      100%
2023        5      100%
2024        2      100%
2025        9      100%
2026        8       62%  (año incompleto)

CSV guardado en resultados/tmax35/datos.csv
